,Contact type,User_ID,Download_Date,Resolution,Asset_ID,Asset_Type,Asset_Legacy_ID,Asset_Create_Date,Usage_Description
0,Client,VB1CT509       ,5/19/2020,Original,VB1393593,Video,652077,5/19/2020,Other
1,Client,VB1CT509       ,5/19/2020,Original,VB1393591,Video,724244,5/19/2020,Other
2,Client,VB1CT509       ,5/19/2020,Original,VB1393584,Video,655200,5/19/2020,Other
3,Client,VB1CT509       ,5/19/2020,Original,VB1393585,Video,655181,5/19/2020,Other
4,Client,VB1CT509       ,5/19/2020,Original,VB1393579,Video,650672,5/19/2020,Other
5,Client,VB1CT509       ,5/19/2020,Original,VB1393573,Video,652148,5/19/2020,Other
6,Client,VB1CT509       ,5/19/2020,Original,VB1393571,Video,654094,5/19/2020,Other
7,Client,VB1CT509       ,5/19/2020,Original,VB1393572,Video,652134,5/19/2020,Other
8,Client,VB1CT509       ,5/19/2020,Original,VB1393556,Video,652416,5/19/2020,Other
9,Client,VB1CT509       ,5/19/2020,Original,VB1393555,Video,651129,5/19/2020,Other
10,Client,VB1CT509       ,5/19/2020,Original,VB1393553,Video,651119,5/19/2020,Other
11,Client,VB1CT509       ,5/19/2020,Original,VB1393551,Video,652564,5/19/2020,Other
12,Client,VB1CT509       ,5/19/2020,Original,VB1393623,Video,655714,5/19/2020,Other
13,Client,VB1CT509       ,5/19/2020,Original,VB1393621,Video,653635,5/19/2020,Other
14,Client,VB1CT509       ,5/19/2020,Original,VB1393619,Video,655720,5/19/2020,Other
15,Client,VB1CT509       ,5/19/2020,Original,VB1393617,Video,653935,5/19/2020,Other
16,Client,VB1CT509       ,5/19/2020,Original,VB1393611,Video,650954,5/19/2020,Other
17,Client,VB1CT509       ,5/19/2020,Original,VB1393603,Video,654098,5/19/2020,Other
18,Client,VB1CT509       ,5/19/2020,Original,VB1393601,Video,652114,5/19/2020,Other
19,Client,VB1CT509       ,5/19/2020,Original,VB1393599,Video,652094,5/19/2020,Other
20,Client,VB1CT509       ,5/7/2020,Original,VB1384130,Video,711516,5/6/2020,Other
21,Client,VB1CT509       ,5/7/2020,Original,VB1384128,Video,724316,5/6/2020,Other
22,Client,VB1CT509       ,5/7/2020,Original,VB1384126,Video,724364,5/6/2020,Other
23,Client,VB1CT509       ,5/7/2020,Original,VB1384124,Video,651751,5/6/2020,Other
24,Client,VB1CT509       ,5/7/2020,Original,VB1384122,Video,700454,5/6/2020,Other
25,Client,VB1CT509       ,5/7/2020,Original,VB1384120,Video,703459,5/6/2020,Other
26,Client,VB1CT509       ,5/7/2020,Original,VB1384118,Video,651768,5/6/2020,Other
27,Client,VB1CT509       ,5/7/2020,Original,VB1384116,Video,705368,5/6/2020,Other
28,Client,VB1CT509       ,5/7/2020,Original,VB1384114,Video,859531,5/6/2020,Other
29,Client,VB1CT509       ,5/7/2020,Original,VB1384110,Video,703159,5/6/2020,Other
30,Client,VB1CT509       ,5/7/2020,Original,VB1384109,Video,724377,5/6/2020,Other
31,Client,VB1CT509       ,5/7/2020,Original,VB1384108,Video,724447,5/6/2020,Other
32,Client,VB1CT509       ,5/7/2020,Original,VB1384106,Video,724367,5/6/2020,Other
33,Client,VB1CT509       ,5/7/2020,Original,VB1384103,Video,652664,5/6/2020,Other
34,Client,VB1CT509       ,5/7/2020,Original,VB1384102,Video,654457,5/6/2020,Other
35,Client,VB1CT509       ,5/7/2020,Original,VB1384087,Video,652608,5/6/2020,Other
36,Client,VB1CT509       ,5/7/2020,Original,VB1384083,Video,703411,5/6/2020,Other
37,Client,VB1CT509       ,5/7/2020,Original,VB1384082,Video,698837,5/6/2020,Other
38,Client,VB1CT509       ,5/7/2020,Original,VB1384081,Video,703435,5/6/2020,Other
39,Client,VB1CT509       ,5/7/2020,Original,VB1384080,Video,723222,5/6/2020,Other
40,Client,VB1CT509       ,5/7/2020,Original,VB1384077,Video,704020,5/6/2020,Other
41,Client,VB1CT509       ,5/7/2020,Original,VB1384076,Video,658424,5/6/2020,Other
42,Client,VB1CT509       ,5/7/2020,Original,VB1384196,Video,705410,5/6/2020,Other
43,Client,VB1CT509       ,5/7/2020,Original,VB1384194,Video,706048,5/6/2020,Other
44,Client,VB1CT509       ,5/7/2020,Original,VB1384192,Video,658786,5/6/2020,Other
45,Client,VB1CT509       ,5/7/2020,Original,VB1384190,Video,856917,5/6/2020,Other
46,Client,VB1CT509       ,5/7/2020,Original,VB1384188,Video,654732,5/6/2020,Other
47,Client,VB1CT509       ,5/7/2020,Original,VB1384186,Video,706052,5/6/2020,Other
48,Client,VB1CT509       ,5/7/2020,Original,VB1384184,Video,711548,5/6/2020,Other
49,Client,VB1CT509       ,5/7/2020,Original,VB1384182,Video,656394,5/6/2020,Other
50,Client,VB1CT509       ,5/7/2020,Original,VB1384180,Video,652920,5/6/2020,Other
51,Client,VB1CT509       ,5/7/2020,Original,VB1384178,Video,653860,5/6/2020,Other
52,Client,VB1CT509       ,5/7/2020,Original,VB1384176,Video,724398,5/6/2020,Other
53,Client,VB1CT509       ,5/7/2020,Original,VB1384174,Video,706113,5/6/2020,Other
54,Client,VB1CT509       ,5/7/2020,Original,VB1384172,Video,915448,5/6/2020,Other
55,Client,VB1CT509       ,5/7/2020,Original,VB1384170,Video,699330,5/6/2020,Other
56,Client,VB1CT509       ,5/7/2020,Original,VB1384168,Video,703419,5/6/2020,Other
57,Client,VB1CT509       ,5/7/2020,Original,VB1384166,Video,724402,5/6/2020,Other
58,Client,VB1CT509       ,5/7/2020,Original,VB1384164,Video,656371,5/6/2020,Other
59,Client,VB1CT509       ,5/7/2020,Original,VB1384162,Video,707811,5/6/2020,Other
60,Client,VB1CT509       ,5/7/2020,Original,VB1384160,Video,1070878,5/6/2020,Other
61,Client,VB1CT509       ,5/7/2020,Original,VB1384158,Video,706789,5/6/2020,Other
62,Client,VB1CT509       ,5/7/2020,Original,VB1384156,Video,705429,5/6/2020,Other
63,Client,VB1CT509       ,5/7/2020,Original,VB1384154,Video,723198,5/6/2020,Other
64,Client,VB1CT509       ,5/7/2020,Original,VB1384152,Video,724286,5/6/2020,Other
65,Client,VB1CT509       ,5/7/2020,Original,VB1384150,Video,724371,5/6/2020,Other
66,Client,VB1CT509       ,5/7/2020,Original,VB1384148,Video,652254,5/6/2020,Other
67,Client,VB1CT509       ,5/7/2020,Original,VB1384146,Video,656103,5/6/2020,Other
68,Client,VB1CT509       ,5/7/2020,Original,VB1384144,Video,705436,5/6/2020,Other
69,Client,VB1CT509       ,5/7/2020,Original,VB1384142,Video,724357,5/6/2020,Other
70,Client,VB1CT509       ,5/7/2020,Original,VB1384140,Video,711600,5/6/2020,Other
71,Client,VB1CT509       ,5/7/2020,Original,VB1384138,Video,655414,5/6/2020,Other
