,Contact type,User_ID,Access_Date,Device
1522,Staff,VB3CT47        ,10/14/2019,Mac
1519,Staff,VB3CT47        ,10/15/2019,Mac
1520,Staff,VB3CT47        ,10/15/2019,Mac
1521,Staff,VB3CT47        ,10/15/2019,Mac
1514,Staff,VB3CT47        ,10/16/2019,Mac
1515,Staff,VB3CT47        ,10/16/2019,Mac
1516,Staff,VB3CT47        ,10/16/2019,Mac
1517,Staff,VB3CT47        ,10/16/2019,Mac
1518,Staff,VB3CT47        ,10/16/2019,Mac
1513,Staff,VB3CT47        ,10/17/2019,Mac
1508,Staff,VB3CT47        ,10/21/2019,Mac
1512,Staff,VB3CT47        ,10/21/2019,Mac
1509,Staff,VB3CT47        ,10/21/2019,Unknown
1510,Staff,VB3CT47        ,10/21/2019,Unknown
1511,Staff,VB3CT47        ,10/21/2019,Unknown
1993,Staff,VB3CT59        ,10/22/2019,Mac
1507,Staff,VB3CT47        ,10/22/2019,Mac
357,Staff,VB1CT37        ,10/22/2019,Mac
358,Staff,VB1CT37        ,10/22/2019,Mac
1992,Staff,VB3CT59        ,10/22/2019,Unknown
1991,Staff,VB3CT59        ,10/23/2019,Mac
2628,Staff,VB3CT93        ,10/23/2019,Mac
3520,Staff,VB3CT388       ,10/23/2019,Mac
2627,Staff,VB3CT93        ,10/24/2019,Mac
1505,Staff,VB3CT47        ,10/24/2019,Mac
1506,Staff,VB3CT47        ,10/24/2019,Mac
2625,Staff,VB3CT93        ,10/24/2019,Unknown
2626,Staff,VB3CT93        ,10/24/2019,Unknown
1482,Staff,VB3CT47        ,10/25/2019,Mac
1483,Staff,VB3CT47        ,10/25/2019,Mac
1484,Staff,VB3CT47        ,10/25/2019,Mac
1485,Staff,VB3CT47        ,10/25/2019,Mac
1486,Staff,VB3CT47        ,10/25/2019,Mac
1487,Staff,VB3CT47        ,10/25/2019,Mac
1488,Staff,VB3CT47        ,10/25/2019,Mac
1489,Staff,VB3CT47        ,10/25/2019,Mac
1490,Staff,VB3CT47        ,10/25/2019,Mac
1491,Staff,VB3CT47        ,10/25/2019,Mac
