,Contact type_x,User_ID,Search_Date,Search Type,Search_On,Results,Execution time (s),Search Origin
0,Client,VB1CT1030      ,6/6/2020,Multiple,outside,5120,0.029,FrontEnd quick search
1,Client,VB1CT1030      ,6/6/2020,Multiple,hammock / outside,24,0.034,BackEnd quick search
2,Client,VB1CT1030      ,6/6/2020,Multiple,hammock,250,0.057,FrontEnd quick search
3,Client,VB1CT1030      ,6/6/2020,Multiple,internship / hammock,0,0,BackEnd quick search
4,Client,VB1CT1030      ,6/6/2020,Multiple,internship,2787,0.032,FrontEnd quick search
5,Client,VB1CT89        ,12/13/2019,Multiple,Peabody,1919,0.026,BackEnd advanced search
6,Client,VB1CT89        ,12/13/2019,Multiple,Peabody,1919,0.023,FrontEnd quick search
7,Client,VB1CT89        ,12/13/2019,Multiple,wyatt center / wyatt exterior,0,0,BackEnd quick search
8,Client,VB1CT89        ,12/13/2019,Multiple,wyatt center,179,0.03,FrontEnd quick search
9,Client,VB1CT89        ,12/11/2019,Multiple,student,872,0.016,FrontEnd quick search
10,Client,VB1CT535       ,5/25/2020,Multiple,video,1,0.031,FrontEnd quick search
11,Client,CTICT42        ,1/7/2020,Multiple,,14,0.027,FrontEnd quick search
12,Client,CTICT42        ,1/7/2020,Multiple,,14,0.036,FrontEnd quick search
13,Client,VB1CT421       ,3/24/2020,Multiple,,2,0.026,BackEnd advanced search
14,Client,VB1CT421       ,3/24/2020,Multiple,,0,0,BackEnd advanced search
15,Client,VB1CT421       ,3/24/2020,Multiple,,16,0.027,BackEnd advanced search
16,Client,VB1CT421       ,3/24/2020,Multiple,,0,0,BackEnd advanced search
17,Client,VB1CT421       ,3/24/2020,Multiple,,2,0.034,BackEnd advanced search
18,Client,VB1CT421       ,3/24/2020,Multiple,,18,0.052,FrontEnd quick search
19,Client,VB1CT523       ,5/19/2020,Multiple,,17,0.044,BackEnd advanced search
20,Client,VB1CT523       ,5/19/2020,Multiple,bookstore,0,0.001,BackEnd quick search
21,Client,VB1CT523       ,5/19/2020,Multiple,,17,0.042,BackEnd advanced search
22,Client,VB1CT523       ,5/19/2020,Multiple,bookstore,0,0,BackEnd advanced search
23,Client,VB1CT523       ,5/19/2020,Multiple,bookstore,0,0,BackEnd advanced search
24,Client,VB1CT523       ,5/19/2020,Multiple,bookstore cook book / bookstore,0,0.001,BackEnd quick search
25,Client,VB1CT523       ,5/19/2020,Multiple,bookstore cook book / bookstore cooking,0,0.001,BackEnd quick search
26,Client,VB1CT523       ,5/19/2020,Multiple,bookstore cook book,0,0.001,FrontEnd quick search
27,Client,VB1CT512       ,5/29/2020,Multiple,581948,0,0,BackEnd quick search
28,Client,VB1CT512       ,5/29/2020,Multiple,,17,0.032,BackEnd advanced search
29,Client,VB1CT512       ,5/29/2020,Multiple,Soviet milliner Tom,0,0,BackEnd quick search
30,Client,VB1CT512       ,5/29/2020,Multiple,55551,0,0,FrontEnd quick search
31,Client,VB1CT434       ,4/8/2020,Multiple,help,0,0,FrontEnd quick search
32,Client,VB1CT485       ,5/26/2020,Multiple,walter cronkite,0,0,FrontEnd quick search
33,Client,VB1CT485       ,5/26/2020,Multiple,wilson mckinley / &quot;news services&quot;,0,0,BackEnd quick search
34,Client,VB1CT485       ,5/26/2020,Multiple,wilson mckinley / jesus people,0,0.001,BackEnd quick search
35,Client,VB1CT485       ,5/26/2020,Multiple,wilson mckinley / jesus movement,0,0.001,BackEnd quick search
36,Client,VB1CT485       ,5/26/2020,Multiple,wilson mckinley / jesus movement,0,0,BackEnd quick search
37,Client,VB1CT485       ,5/26/2020,Multiple,wilson mckinley,0,0,FrontEnd quick search
38,Client,VB1CT485       ,4/30/2020,Multiple,walter cronkite,0,0.002,FrontEnd quick search
39,Client,VB1CT485       ,4/30/2020,Multiple,&quot;news services&quot;,0,0,FrontEnd quick search
40,Client,VB1CT485       ,4/30/2020,Multiple,jesus people,0,0,FrontEnd quick search
41,Client,VB1CT472       ,4/23/2020,Multiple,,17,0.274,FrontEnd quick search
42,Client,VB1CT472       ,4/23/2020,Multiple,march 10 1970,0,0,BackEnd advanced search
43,Client,VB1CT472       ,4/23/2020,Multiple,march 10 1970,0,0.001,BackEnd quick search
44,Client,VB1CT472       ,4/23/2020,Multiple,,1,0.022,BackEnd advanced search
45,Client,VB1CT472       ,4/23/2020,Multiple,,17,0.053,BackEnd advanced search
46,Client,VB1CT472       ,4/23/2020,Multiple,9563.mp4,0,0,BackEnd quick search
47,Client,VB1CT472       ,4/23/2020,Multiple,9563.mp4,0,0,FrontEnd quick search
48,Client,VB1CT472       ,4/23/2020,Multiple,9563.mp4,0,0,BackEnd quick search
49,Client,VB1CT472       ,4/23/2020,Multiple,208611.mp4,0,0.001,BackEnd quick search
50,Client,VB1CT472       ,4/23/2020,Multiple,,17,0.025,BackEnd quick search
51,Client,VB1CT472       ,4/23/2020,Multiple,VB1378236,0,0,BackEnd advanced search
52,Client,VB1CT472       ,4/23/2020,Multiple,208611 / VB1378236,0,0,BackEnd quick search
53,Client,VB1CT472       ,4/23/2020,Multiple,208611,0,0,FrontEnd quick search
54,Client,VB1CT470       ,5/7/2020,Multiple,,17,0.066,FrontEnd quick search
55,Staff,VB1CT75        ,11/8/2019,Multiple,student,19071,0.032,FrontEnd advanced search
56,Staff,VB1CT75        ,11/8/2019,Multiple,student,2741,0.041,FrontEnd advanced search
57,Staff,VB1CT75        ,11/8/2019,Multiple,student,2749,0.041,BackEnd quick search
58,Client,VB1CT550       ,5/20/2020,Multiple,,18,0.085,FrontEnd quick search
59,Client,VB1CT550       ,5/20/2020,Multiple,257898,1,0.032,FrontEnd quick search
60,Client,VB1CT550       ,5/20/2020,Multiple,cronkite,0,0,FrontEnd quick search
61,Client,VB1CT550       ,5/18/2020,Multiple,,323633,0.14,BackEnd advanced search
62,Client,VB1CT532       ,5/29/2020,Multiple,arcives / archives,0,0,BackEnd quick search
63,Client,VB1CT532       ,5/29/2020,Multiple,arcives,0,0,FrontEnd quick search
